,ISBN,Title,Author,PublicationYear,Subjects,ItemType,avg sales per year
1154410, 9781501154836,The tea girl of Hummingbird Lane : a novel / Lisa See.,"See, Lisa",2017.,"Adopted children Fiction, Chinese American teenagers California Fiction, Identity Psychology Fiction, Mothers and daughters Fiction, Akha Southeast Asian people China Fiction, Group identity China Fiction, Psychological fiction, Domestic fiction",pkbknh,963.0
4048408, 9781501154829,The tea girl of Hummingbird Lane : a novel / Lisa See.,"See, Lisa",2017.,"Adopted children Fiction, Chinese American teenagers California Fiction, Identity Psychology Fiction, Mothers and daughters Fiction, Akha Southeast Asian people China Fiction, Group identity China Fiction, Psychological fiction, Domestic fiction",pkbknh,963.0
1456113,0316225983,The late show / Michael Connelly.,"Connelly, Michael, 1956-",2017.,"Women detectives California Los Angeles Fiction, Policewomen California Los Angeles Fiction, Sexual harassment in law enforcement Fiction, Murder Investigation Fiction, Hollywood Los Angeles Calif Fiction, Detective and mystery fiction, Thrillers Fiction",acbk,958.0
3369694, 9780316225984,The late show / Michael Connelly.,"Connelly, Michael, 1956-",2017.,"Women detectives California Los Angeles Fiction, Policewomen California Los Angeles Fiction, Sexual harassment in law enforcement Fiction, Murder Investigation Fiction, Hollywood Los Angeles Calif Fiction, Detective and mystery fiction, Thrillers Fiction",pkbknh,958.0
4160186,0805095152,Being mortal : medicine and what matters in the end / Atul Gawande.,"Gawande, Atul",2014.,"Terminal care, Critical care medicine, Aging Physiological aspects, Quality of life",acbk,932.75
177926, 9780805095159,Being mortal : medicine and what matters in the end / Atul Gawande.,"Gawande, Atul",2014.,"Terminal care, Critical care medicine, Aging Physiological aspects, Quality of life",acbk,932.75
261328, 9781594634475,Fates and furies / Lauren Groff.,"Groff, Lauren",2015.,"Married people Fiction, Secrecy Fiction, Interpersonal relations Fiction, Love stories, Domestic fiction",acbk,906.6666666666666
801981,1594634475,Fates and furies / Lauren Groff.,"Groff, Lauren",2015.,"Married people Fiction, Secrecy Fiction, Interpersonal relations Fiction, Love stories, Domestic fiction",acbk,906.6666666666666
82677, 9780307352149,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,"Cain, Susan",2012.,"Introverts, Introversion, Extraversion, Interpersonal relations",acbk,893.3333333333334
1044746, 9780307452207,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,"Cain, Susan",2012.,"Introverts, Introversion, Extraversion, Interpersonal relations",acbk,893.3333333333334
978044,0307352145,Quiet : the power of introverts in a world that can't stop talking / Susan Cain.,"Cain, Susan",2012.,"Introverts, Introversion, Extraversion, Interpersonal relations",acbk,893.3333333333334
930717, 9780399576102,A separation / Katie Kitamura.,"Kitamura, Katie M.",2017.,"Married women Fiction, Marital conflict Fiction, Adultery Fiction, Psychological fiction",acbk,861.0
426412,039957610X,A separation / Katie Kitamura.,"Kitamura, Katie M.",2017.,"Married women Fiction, Marital conflict Fiction, Adultery Fiction, Psychological fiction",acbk,861.0
2279112, 9780545663267,Mockingjay / Suzanne Collins.,"Collins, Suzanne",2010.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,799.0
3164721,0439023513,Mockingjay / Suzanne Collins.,"Collins, Suzanne",2010.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,799.0
3045640, 9780439023511,Mockingjay / Suzanne Collins.,"Collins, Suzanne",2010.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,799.0
2512497,0670024783,The invention of wings / Sue Monk Kidd.,"Kidd, Sue Monk",2014.,"Grimk‚ Sarah Moore 1792 1873 Fiction, Antislavery movements Fiction, Feminists South Carolina Fiction, Womens rights Fiction, Biographical fiction, Historical fiction",acbk,767.75
2512498, 9780670024780,The invention of wings / Sue Monk Kidd.,"Kidd, Sue Monk",2014.,"Grimk‚ Sarah Moore 1792 1873 Fiction, Antislavery movements Fiction, Feminists South Carolina Fiction, Womens rights Fiction, Biographical fiction, Historical fiction",acbk,767.75
3079353,0062414216,The nest / Cynthia D'Aprix Sweeney.,"Sweeney, Cynthia D'Aprix",2016.,"Brothers and sisters Fiction, Inheritance and succession Fiction, Domestic fiction",acbk,765.5
475440, 9780062414212,The nest / Cynthia D'Aprix Sweeney.,"Sweeney, Cynthia D'Aprix",2016.,"Brothers and sisters Fiction, Inheritance and succession Fiction, Domestic fiction",acbk,765.5
3744460,1338099132,Harry Potter and the cursed child. Parts one and two : a new play / by Jack Thorne.,"Thorne, Jack",2016.,"Potter Harry Fictitious character Drama, Good and evil Drama, Magic Drama, Fantasy drama",acbk,759.0
3744461, 9781338099133,Harry Potter and the cursed child. Parts one and two : a new play / by Jack Thorne.,"Thorne, Jack",2016.,"Potter Harry Fictitious character Drama, Good and evil Drama, Magic Drama, Fantasy drama",acbk,759.0
2631108, 9780307271082,Americanah / Chimamanda Ngozi Adichie.,"Adichie, Chimamanda Ngozi, 1977-",2013.,"Immigrants Fiction, Refugees Fiction, Nigerians United States Fiction, Nigerians England Fiction, Nigeria Fiction",acbk,758.4
1486088,0307271080,Americanah / Chimamanda Ngozi Adichie.,"Adichie, Chimamanda Ngozi, 1977-",2013.,"Immigrants Fiction, Refugees Fiction, Nigerians United States Fiction, Nigerians England Fiction, Nigeria Fiction",acbk,758.4
1773052, 9781423154044,Listen to my trumpet! / by Mo Willems.,"Willems, Mo",2012.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Trumpet Juvenile fiction, Friendship Fiction",jcbk,758.0
3479047,1423154045,Listen to my trumpet! / by Mo Willems.,"Willems, Mo",2012.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Trumpet Juvenile fiction, Friendship Fiction",jcbk,758.0
3820733,0316176486,Life after life : a novel / Kate Atkinson.,"Atkinson, Kate",2013.,"Reincarnation Fiction, Great Britain History 20th century Fiction, Alternative histories Fiction, Humorous fiction",acbk,730.2
128149, 9780316176484,Life after life : a novel / Kate Atkinson.,"Atkinson, Kate",2013.,"Reincarnation Fiction, Great Britain History 20th century Fiction, Alternative histories Fiction, Humorous fiction",acbk,730.2
132946,0735216525,Do not become alarmed / Maile Meloy.,"Meloy, Maile",2017.,"Families Fiction, Family vacations Fiction, Missing children Fiction, Bildungsromans, Domestic fiction",acbk,729.0
2934290, 9780735216525,Do not become alarmed / Maile Meloy.,"Meloy, Maile",2017.,"Families Fiction, Family vacations Fiction, Missing children Fiction, Bildungsromans, Domestic fiction",acbk,729.0
1851555,0316348406,Shrill : notes from a loud woman / Lindy West.,"West, Lindy",2016.,"West Lindy Humor, Women journalists United States Biography, Feminists United States Biography, Women Humor, Conduct of life Humor, Humor, Autobiographies",acbk,720.0
3614769, 9780316348409,Shrill : notes from a loud woman / Lindy West.,"West, Lindy",2016.,"West Lindy Humor, Women journalists United States Biography, Feminists United States Biography, Women Humor, Conduct of life Humor, Humor, Autobiographies",acbk,720.0
811646, 9781423113485,Watch me throw the ball! / by Mo Willems.,"Willems, Mo",2009.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Balls Sporting goods Juvenile fiction, Play Fiction, Elephants Juvenile fiction, Pigs Fiction",jcbk,718.3333333333334
2646021,1423113489,Watch me throw the ball! / by Mo Willems.,"Willems, Mo",2009.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Balls Sporting goods Juvenile fiction, Play Fiction, Elephants Juvenile fiction, Pigs Fiction",jcbk,718.3333333333334
1308669, 9781423106869,There is a bird on your head! / by Mo Willems.,"Willems, Mo",2007.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Elephants Juvenile fiction, Pigs Fiction, Birds Fiction, Friendship Fiction",jcbk,704.7272727272727
2381206,1423106865,There is a bird on your head! / by Mo Willems.,"Willems, Mo",2007.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Elephants Juvenile fiction, Pigs Fiction, Birds Fiction, Friendship Fiction",jcbk,704.7272727272727
4039894, 9780812998603,The girls : a novel / Emma Cline.,"Cline, Emma.",2016.,"Teenage girls Fiction, Communal living California Fiction, Nineteen sixties Fiction, Counterculture Fiction, Psychological fiction",acbk,701.0
2336528,081299860X,The girls : a novel / Emma Cline.,"Cline, Emma.",2016.,"Teenage girls Fiction, Communal living California Fiction, Nineteen sixties Fiction, Counterculture Fiction, Psychological fiction",acbk,701.0
2399250,1250066190,Glass houses / Louise Penny.,"Penny, Louise",2017.,"Gamache Armand Fictitious character Fiction, Police Qu‚bec Province Fiction, Murder Investigation Fiction, Detective and mystery fiction",acbk,683.0
1283224, 9781250066190,Glass houses / Louise Penny.,"Penny, Louise",2017.,"Gamache Armand Fictitious character Fiction, Police Qu‚bec Province Fiction, Murder Investigation Fiction, Detective and mystery fiction",pkbknh,683.0
3592473,0439023491,Catching fire / Suzanne Collins.,"Collins, Suzanne",2009.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,681.4444444444445
1816604, 9780545586177,Catching fire / Suzanne Collins.,"Collins, Suzanne",2009.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,681.4444444444445
1816603, 9780439023498,Catching fire / Suzanne Collins.,"Collins, Suzanne",2009.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,681.4444444444445
1816602, 0545586178,Catching fire / Suzanne Collins.,"Collins, Suzanne",2009.,"Insurgency Juvenile fiction, Survival Juvenile fiction, Wilderness survival Juvenile fiction, Television programs Juvenile fiction, Interpersonal relations Juvenile fiction, Contests Juvenile fiction, Science fiction Juvenile fiction",acbk,681.4444444444445
2816431, 9781423109624,I will surprise my friend! / by Mo Willems.,"Willems, Mo",2008.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Surprise Juvenile fiction, Friendship Fiction, Elephants Juvenile fiction, Pigs Fiction",jcbk,679.8
2307682,1423109627,I will surprise my friend! / by Mo Willems.,"Willems, Mo",2008.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Surprise Juvenile fiction, Friendship Fiction, Elephants Juvenile fiction, Pigs Fiction",jcbk,679.8
789780,0385353308,Station Eleven / Emily St. John Mandel.,"Mandel, Emily St. John, 1979-",2014.,"Actors Fiction, Time travel Fiction, Science fiction, Adventure fiction",acbk,679.0
984290, 9780385353304,Station Eleven / Emily St. John Mandel.,"Mandel, Emily St. John, 1979-",2014.,"Actors Fiction, Time travel Fiction, Science fiction, Adventure fiction",acbk,679.0
3114917, 9780545312868,Fly Guy vs. the flyswatter! / Tedd Arnold.,"Arnold, Tedd",2011.,"Flies Juvenile fiction, School field trips Juvenile fiction",jcbk,674.2857142857143
2567418,0545312868,Fly Guy vs. the flyswatter! / Tedd Arnold.,"Arnold, Tedd",2011.,"Flies Juvenile fiction, School field trips Juvenile fiction",jcbk,674.2857142857143
192059, 9780451493583,American war / Omar El Akkad.,"El Akkad, Omar, 1982-",2017.,"Civil war United States Fiction, Young women United States Fiction, Dystopian fiction, Science fiction, War fiction",pkbknh,668.0
2440297,0451493583,American war / Omar El Akkad.,"El Akkad, Omar, 1982-",2017.,"Civil war United States Fiction, Young women United States Fiction, Dystopian fiction, Science fiction, War fiction",acbk,668.0
3809428, 1476738025,"A man called Ove : a novel / Fredrik Backman ; [translation, Henning Koch].","Backman, Fredrik, 1981-",2014.,"Older men Fiction, Neighbors Fiction",acbk,666.25
1154328,1476738017,"A man called Ove : a novel / Fredrik Backman ; [translation, Henning Koch].","Backman, Fredrik, 1981-",2014.,"Older men Fiction, Neighbors Fiction",pkbknh,666.25
2698792, 9781476738017,"A man called Ove : a novel / Fredrik Backman ; [translation, Henning Koch].","Backman, Fredrik, 1981-",2014.,"Older men Fiction, Neighbors Fiction",acbk,666.25
2698793, 9781476738024,"A man called Ove : a novel / Fredrik Backman ; [translation, Henning Koch].","Backman, Fredrik, 1981-",2014.,"Older men Fiction, Neighbors Fiction",acbk,666.25
292010, 9781423102977,My friend is sad / by Mo Willems.,"Willems, Mo",2007.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Emotions Juvenile fiction, Friendship Fiction",jcbk,662.3636363636364
2959172,1423102975,My friend is sad / by Mo Willems.,"Willems, Mo",2007.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Emotions Juvenile fiction, Friendship Fiction",jcbk,662.3636363636364
2361810, 9781423102953,Today I will fly! / by Mo Willems.,"Willems, Mo",2007.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Cooperativeness Juvenile fiction, Friendship Fiction",jcbk,657.6363636363636
986440,1423102959,Today I will fly! / by Mo Willems.,"Willems, Mo",2007.,"Gerald Fictitious character Willems Juvenile fiction, Piggie Fictitious character Willems Juvenile fiction, Pigs Fiction, Elephants Juvenile fiction, Cooperativeness Juvenile fiction, Friendship Fiction",jcbk,657.6363636363636
3501741,1620972255,Strangers in their own land : anger and mourning on the American right / Arlie Russell Hochschild.,"Hochschild, Arlie Russell, 1940-",2016.,"Conservatism United States History 21st century, Liberalism United States History 21st century, Political psychology",acbk,656.0
3927692, 9781620972250,Strangers in their own land : anger and mourning on the American right / Arlie Russell Hochschild.,"Hochschild, Arlie Russell, 1940-",2016.,"Conservatism United States History 21st century, Liberalism United States History 21st century, Political psychology",acbk,656.0
3108686,1101874937,Lab girl / Hope Jahren.,"Jahren, Hope.",2016.,"Jahren Hope, Biologists United States Biography, Geobiology Research Anecdotes",acbk,648.5
1746011, 9781101874936,Lab girl / Hope Jahren.,"Jahren, Hope.",2016.,"Jahren Hope, Biologists United States Biography, Geobiology Research Anecdotes",acbk,648.5
1003127,1455561789,Before the fall / Noah Hawley.,"Hawley, Noah",2016.,"Aircraft accident victims Fiction, Airplane crash survival Fiction, Suspense fiction, Thrillers Fiction",acbk,642.0
3870060, 9781455561780,Before the fall / Noah Hawley.,"Hawley, Noah",2016.,"Aircraft accident victims Fiction, Airplane crash survival Fiction, Suspense fiction, Thrillers Fiction",acbk,642.0
304387,0545493285,Fly Guy and the Frankenfly / Tedd Arnold.,"Arnold, Tedd",2013.,"Flies Juvenile fiction, Monsters Juvenile fiction, Nightmares Juvenile fiction, Best friends Fiction",jcbk,637.8
3776346, 9780545493284,Fly Guy and the Frankenfly / Tedd Arnold.,"Arnold, Tedd",2013.,"Flies Juvenile fiction, Monsters Juvenile fiction, Nightmares Juvenile fiction, Best friends Fiction",jcbk,637.8
2589002, 0606070990,Fly Guy meets Fly Girl / Tedd Arnold.,"Arnold, Tedd",2010.,Flies Juvenile fiction,jcbk,624.375
2705378, 9780606070997,Fly Guy meets Fly Girl / Tedd Arnold.,"Arnold, Tedd",2010.,Flies Juvenile fiction,jcbk,624.375
3917412, 9780545110297,Fly Guy meets Fly Girl / Tedd Arnold.,"Arnold, Tedd",2010.,Flies Juvenile fiction,jcbk,624.375
2830500,0545110297,Fly Guy meets Fly Girl / Tedd Arnold.,"Arnold, Tedd",2010.,Flies Juvenile fiction,jcbk,624.375
17862, 9781501132957,The woman in cabin 10 / Ruth Ware.,"Ware, Ruth.",2016.,"Women journalists Fiction, Cruise ships Fiction, Psychological fiction, Suspense fiction, Mystery fiction",acbk,623.0
17861, 9781501132933,The woman in cabin 10 / Ruth Ware.,"Ware, Ruth.",2016.,"Women journalists Fiction, Cruise ships Fiction, Psychological fiction, Suspense fiction, Mystery fiction",acbk,623.0
2446503, 1501132954,The woman in cabin 10 / Ruth Ware.,"Ware, Ruth.",2016.,"Women journalists Fiction, Cruise ships Fiction, Psychological fiction, Suspense fiction, Mystery fiction",acbk,623.0
2496996,1501132938,The woman in cabin 10 / Ruth Ware.,"Ware, Ruth.",2016.,"Women journalists Fiction, Cruise ships Fiction, Psychological fiction, Suspense fiction, Mystery fiction",acbk,623.0
2683040, 9780307269751,The girl with the dragon tattoo / Stieg Larsson ; translated from the Swedish by Reg Keeland.,"Larsson, Stieg, 1954-2004",2008.,"Salander Lisbeth Fictitious character Fiction, Journalists Sweden Fiction, Hackers Sweden Fiction, Rich people Sweden Fiction, Missing persons Sweden Fiction, Corporations Corrupt practices Sweden Fiction, Thrillers Fiction",acbk,611.2
